valid_time,latitude,longitude,tp_m,tp_mm,swvl2,swvl4,swvl1,swvl3,sp_pa,sp_hpa,d2m,t2m,strd_jm2,strd_wm2,ssrd_jm2,ssrd_wm2,skt,u10,v10,t2m_c,d2m_c,skt_c,wind_speed,rh,data,t2m_c_mean,t2m_c_min,t2m_c_max,rh_mean,rh_min,rh_max,ssrd_mjm2_dia,tp_mm_dia,wind_speed_mean,sp_hpa_mean,swvl1_mean
2000-12-04 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.27853394,0.3748932,0.15679932,0.3214569,100396.22,1003.96216,294.37665,297.82596,1.309966e+06,363.87946,0.0,0.0,297.53934,-2.6271057,-1.3915558,24.675964,21.226654,24.389343,2.972896,81.16255,2000-12-04,26.833398818969727,23.770660400390625,31.635711669921875,66.90441131591797,41.79633712768555,84.3237075805664,21.736459732055664,0.02575218677520752,4.117437839508057,1003.50341796875,0.15673764050006866
2000-12-05 00:00:00,-4.199999999999166,-38.499999999995396,8.681818e-07,0.0008681818,0.27844238,0.37477112,0.15635681,0.32110596,100354.0,1003.54,293.73682,298.156,1.343424e+06,373.17334,0.0,0.0,297.82068,-2.6707916,-1.1954651,25.006012,20.586823,24.670685,2.9261348,76.511505,2000-12-05,27.201385498046875,23.213043212890625,32.595550537109375,67.55516815185547,41.12554931640625,88.84698486328125,23.63508415222168,0.007681690622121096,3.6256887912750244,1003.0548706054688,0.1562531739473343
2000-12-06 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.27835083,0.37464905,0.15597534,0.3207245,100342.92,1003.4292,295.22498,298.2367,1.357994e+06,377.22055,0.0,0.0,298.1797,-2.093567,-1.2371674,25.0867,22.074982,25.029694,2.4317906,83.41375,2000-12-06,27.514795303344727,23.578033447265625,32.522613525390625,70.93212127685547,46.545074462890625,92.24227142333984,23.26375961303711,0.2004683017730713,3.3925225734710693,1002.987548828125,0.15682728588581085
2000-12-07 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.27825928,0.37452698,0.15766907,0.32034302,100413.7,1004.137,295.94733,298.7127,1.407344e+06,390.9289,0.0,0.0,298.84155,-1.6170502,-1.1183071,25.562714,22.797333,25.691559,1.9660778,84.72496,2000-12-07,27.825246810913086,24.877532958984375,32.860504150390625,69.83705139160156,43.27675247192383,89.89131164550781,23.521203994750977,0.1296699047088623,3.2643935680389404,1003.713134765625,0.15803591907024384
2000-12-08 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.27816772,0.3743744,0.15753174,0.31993103,100525.62,1005.25616,295.77783,298.66077,1.390812e+06,386.33667,0.0,0.0,298.70135,-1.8452759,-1.1992188,25.510773,22.627838,25.551361,2.20072,84.11771,2000-12-08,27.74302101135254,24.60845947265625,33.176666259765625,68.83197784423828,41.53398895263672,88.3536605834961,23.41857147216797,0.15598535537719727,3.92620587348938,1004.282958984375,0.15793800354003906
2000-12-09 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.27807617,0.37425232,0.15727234,0.31956482,100471.42,1004.71423,294.91168,298.71008,1.40394e+06,389.98334,0.0,0.0,298.8897,-2.026596,-1.2612915,25.56009,21.761688,25.739716,2.3870373,79.56524,2000-12-09,27.32611083984375,24.782073974609375,31.519073486328125,71.39714050292969,47.135498046875,87.11136627197266,19.850444793701172,0.8190929889678955,3.5638933181762695,1003.8151245117188,0.1605714112520218
2000-12-10 00:00:00,-4.199999999999166,-38.499999999995396,9.95351e-09,9.95351e-06,0.27798462,0.37413025,0.16490173,0.3192749,100408.21,1004.0821,295.2057,298.32767,1.426968e+06,396.38,0.0,0.0,298.53067,-1.9732208,-1.8421783,25.177673,22.055695,25.380676,2.6994853,82.86598,2000-12-10,27.166223526000977,23.772491455078125,32.153411865234375,69.00479888916016,42.749351501464844,90.4207534790039,22.140880584716797,0.15014809370040894,3.173525094985962,1002.9335327148438,0.16389338672161102
2000-12-11 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.27789307,0.37402344,0.16131592,0.3189087,100261.19,1002.6119,294.35785,298.09586,1.360338e+06,377.87167,0.0,0.0,298.0925,-1.7541504,-2.6022797,24.945862,21.207855,24.942505,3.1382964,79.774315,2000-12-11,27.08085060119629,23.635467529296875,32.1802978515625,68.5718994140625,41.38508987426758,88.26632690429688,22.661191940307617,0.0741720199584961,3.4195029735565186,1002.31689453125,0.16055743396282196
2000-12-12 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.2778015,0.3738861,0.15905762,0.31852722,100349.0,1003.49,294.6676,298.62915,1.417056e+06,393.62668,0.0,0.0,298.77197,-2.0181274,-1.0523157,25.479156,21.517609,25.621979,2.2760067,78.764336,2000-12-12,27.184579849243164,24.308135986328125,31.483306884765625,71.23766326904297,49.693580627441406,87.49601745605469,19.97516441345215,1.7470717430114746,3.014850378036499,1002.914794921875,0.16551081836223602
2000-12-13 00:00:00,-4.199999999999166,-38.499999999995396,1.3202429e-05,0.013202429,0.27772522,0.37379456,0.17570496,0.31828308,100368.19,1003.6819,295.6353,298.6609,1.448428e+06,402.34113,0.0,0.0,298.77576,-2.0899506,-1.0042877,25.510895,22.485321,25.625763,2.3187253,83.392654,2000-12-13,26.67742919921875,23.803192138671875,31.054412841796875,76.08972930908203,54.97127151489258,91.06865692138672,19.98289680480957,2.0566165447235107,3.384911298751831,1002.8826293945312,0.18210220336914062
2000-12-14 00:00:00,-4.199999999999166,-38.499999999995396,0.0001090765,0.1090765,0.27766418,0.373703,0.19184875,0.3180542,100338.375,1003.3837,295.5159,298.28464,1.463984e+06,406.66223,0.0,0.0,298.4532,-2.1869507,-1.1182404,25.134644,22.365906,25.303192,2.4562604,84.661575,2000-12-14,26.534154891967773,23.6087646484375,30.571258544921875,75.69757843017578,53.64765548706055,93.61312103271484,19.95961570739746,2.1918447017669678,2.964233160018921,1001.5107421875,0.19888050854206085
2000-12-15 00:00:00,-4.199999999999166,-38.499999999995396,7.177889e-05,0.07177889,0.2776184,0.37361145,0.2013092,0.31781006,100112.95,1001.1295,295.26016,298.5492,1.51146e+06,419.85,0.0,0.0,298.64703,-2.2186584,-0.73205566,25.3992,22.110168,25.49704,2.3363113,82.05393,2000-12-15,24.905969619750977,23.0673828125,28.571929931640625,84.64356994628906,66.2828140258789,96.45435333251953,10.364607810974121,5.121868133544922,1.592848777770996,1000.9353637695312,0.23315684497356415
2000-12-16 00:00:00,-4.199999999999166,-38.499999999995396,0.0005146563,0.5146563,0.2776184,0.37355042,0.25752258,0.31770325,100202.92,1002.02924,295.118,296.9132,1.460476e+06,405.68777,0.0,0.0,296.385,-0.90353394,0.73072815,23.763214,21.968018,23.235016,1.1620401,89.70046,2000-12-16,24.3890438079834,22.481170654296875,26.774078369140625,85.4281005859375,73.19937896728516,95.61717224121094,7.745940208435059,8.03094482421875,1.9121313095092773,1001.7705688476562,0.31068673729896545
2000-12-17 00:00:00,-4.199999999999166,-38.499999999995396,9.083748e-05,0.09083748,0.27789307,0.37353516,0.3423462,0.31767273,100368.41,1003.6841,294.87964,296.55927,1.442684e+06,400.74554,0.0,0.0,295.89526,0.26486778,0.8754921,23.409271,21.729645,22.74527,0.914681,90.30937,2000-12-17,24.221525192260742,22.371063232421875,26.319244384765625,89.61746215820312,80.9677734375,96.36943817138672,9.353752136230469,7.1152448654174805,1.4853774309158325,1003.6873168945312,0.37235069274902344
2000-12-18 00:00:00,-4.199999999999166,-38.499999999995396,5.7831407e-05,0.057831407,0.28048706,0.37350464,0.41023254,0.3176422,100510.78,1005.1078,296.0959,296.8786,1.474748e+06,409.65222,0.0,0.0,296.41724,-1.6000366,-0.0027656555,23.728607,22.945892,23.267242,1.600039,95.38779,2000-12-18,25.842531204223633,23.042999267578125,29.860260009765625,83.79366302490234,63.85954666137695,98.14399719238281,17.15269660949707,1.6862000226974487,2.540684700012207,1003.5338745117188,0.40547752380371094
2000-12-19 00:00:00,-4.199999999999166,-38.499999999995396,3.874302e-07,0.0003874302,0.28601074,0.37342834,0.38461304,0.31747437,100443.61,1004.4361,296.42325,298.20435,1.462712e+06,406.3089,0.0,0.0,297.44537,-1.3936005,-0.83610535,25.054352,23.273254,24.29538,1.6251751,89.873024,2000-12-19,25.992706298828125,23.2965087890625,29.481231689453125,81.5656967163086,61.52157211303711,96.39242553710938,21.055431365966797,3.033116102218628,3.122347593307495,1003.6171264648438,0.39094796776771545
2000-12-20 00:00:00,-4.199999999999166,-38.499999999995396,-2.561137e-09,-2.561137e-06,0.28907776,0.3733673,0.37609863,0.31730652,100437.1,1004.37103,295.6654,297.5053,1.380688e+06,383.52444,0.0,0.0,296.5062,-1.3834534,-1.096405,24.355316,22.515411,23.356201,1.7652329,89.50145,2000-12-20,25.948030471801758,22.752105712890625,30.625,78.2287826538086,48.630958557128906,97.12651824951172,23.491024017333984,1.2946580648422241,2.501533269882202,1004.2544555664062,0.3685544431209564
2000-12-21 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.29022217,0.3732605,0.34643555,0.31703186,100510.22,1005.1022,295.13013,296.80368,1.315686e+06,365.46832,0.0,0.0,295.8205,-1.030899,-1.4213886,23.653687,21.980133,22.670502,1.7558753,90.3601,2000-12-21,25.869613647460938,22.44854736328125,30.376800537109375,79.20381927490234,56.44808578491211,95.85953521728516,21.62533187866211,0.7296353578567505,2.3193376064300537,1004.8009643554688,0.33782896399497986
2000-12-22 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.29031372,0.37316895,0.3208313,0.31678772,100533.75,1005.3375,295.71765,297.60315,1.382188e+06,383.9411,0.0,0.0,296.9294,-1.554718,-1.3513641,24.453156,22.567657,23.779419,2.059935,89.26165,2000-12-22,26.40228271484375,22.78985595703125,31.228546142578125,81.10800170898438,57.1009635925293,94.90789794921875,21.74428367614746,1.1806488037109375,2.1446619033813477,1004.5338745117188,0.3163083493709564
2000-12-23 00:00:00,-4.199999999999166,-38.499999999995396,0.0,0.0,0.29011536,0.37306213,0.30473328,0.31652832,100528.336,1005.2834,296.49207,298.33884,1.426056e+06,396.12668,0.0,0.0,297.7959,-2.2622223,-0.6851349,25.188843,23.342072,24.645905,2.363696,89.52755,2000-12-23,26.543731689453125,23.245574951171875,30.577362060546875,79.85648345947266,57.89167404174805,95.2518310546875,22.07262420654297,2.7627875804901123,3.064173698425293,1004.478271484375,0.31876373291015625
